code	producer_product_id	lc	product_name_de	product_name_en	product_name_es	product_name_fr	product_name_gl	product_name_it	product_name_nl	product_name_no	product_name_pt	generic_name_es	generic_name_fr	generic_name_it	generic_name_nl	generic_name_pt	quantity	serving_size	packaging	packaging_tags	brands	brands_tags	brand_owner	categories	categories_tags	labels	labels_tags	countries	countries_tags	stores	stores_tags	obsolete	obsolete_since_date	origins	origins_tags	origin_es	origin_fr	origin_nl	manufacturing_places	manufacturing_places_tags	producer_es	producer_fr	producer_nl	emb_codes	emb_codes_tags	ingredients_text_ca	ingredients_text_el	ingredients_text_en	ingredients_text_es	ingredients_text_fr	ingredients_text_gl	ingredients_text_it	ingredients_text_nl	ingredients_text_pt	allergens	allergens_tags	traces	traces_tags	no_nutrition_data	nutrition_data_per	nutrition_data_prepared_per	energy-kj_value	energy-kj_unit	energy-kcal_value	energy-kcal_unit	fat_value	fat_unit	saturated-fat_value	saturated-fat_unit	carbohydrates_value	carbohydrates_unit	sugars_value	sugars_unit	fiber_value	fiber_unit	proteins_value	proteins_unit	salt_value	salt_unit	sodium_value	sodium_unit	alcohol_value	alcohol_unit	energy_value	energy_unit	monounsaturated-fat_value	monounsaturated-fat_unit	polyunsaturated-fat_value	polyunsaturated-fat_unit	oleic-acid_value	oleic-acid_unit	trans-fat_value	trans-fat_unit	cholesterol_value	cholesterol_unit	starch_value	starch_unit	vitamin-a_value	vitamin-a_unit	vitamin-c_value	vitamin-c_unit	vitamin-b1_value	vitamin-b1_unit	vitamin-b2_value	vitamin-b2_unit	vitamin-pp_value	vitamin-pp_unit	vitamin-b6_value	vitamin-b6_unit	vitamin-b9_value	vitamin-b9_unit	calcium_value	calcium_unit	phosphorus_value	phosphorus_unit	iron_value	iron_unit	magnesium_value	magnesium_unit	zinc_value	zinc_unit	iodine_value	iodine_unit	fruits-vegetables-nuts_value	fruits-vegetables-nuts_unit	fruits-vegetables-nuts-estimate_value	fruits-vegetables-nuts-estimate_unit	packaging_1_number_of_units	packaging_1_shape	packaging_1_material	packaging_1_recycling	packaging_1_quantity_per_unit	packaging_1_weight_measured	packaging_2_number_of_units	packaging_2_shape	packaging_2_material	packaging_2_recycling	packaging_3_number_of_units	packaging_3_shape	packaging_3_material	packaging_3_recycling	conservation_conditions_es	conservation_conditions_fr	conservation_conditions_it	conservation_conditions_nl	preparation_es	preparation_fr	preparation_it	preparation_nl	nutriscore_score_producer	nutriscore_grade_producer	customer_service_es	customer_service_fr	customer_service_it	customer_service_nl	link	off:food_groups	off:food_groups_tags	off:nova_groups	off:nova_groups_tags	off:nutriscore_grade	off:nutriscore_score	off:environmental_score_grade	off:environmental_score_score	off:environmental_score_data.missing_key_data	off:environmental_score_data.agribalyse.code	off:environmental_score_data.adjustments.origins_of_ingredients.value	off:environmental_score_data.adjustments.packaging.value	off:environmental_score_data.adjustments.packaging.non_recyclable_and_non_biodegradable_materials	off:environmental_score_data.adjustments.production_system.value	off:environmental_score_data.adjustments.threatened_species.value	sources_fields:org-database-usda:available_date	sources_fields:org-database-usda:fdc_category	sources_fields:org-database-usda:fdc_data_source	sources_fields:org-database-usda:fdc_id	sources_fields:org-database-usda:modified_date	sources_fields:org-database-usda:publication_date	data_sources
8480000634771		en		Masa fresca pizza	Masa fresca pizza	Masa fresca pizza de cereales					Massa fresca pizza de cereais e sementes	Masa fresca pizza de cereales y semillas				Massa fresca pizza de cereais e sementes	520g	260g	Plastic, es:Green dot	en:plastic,es:green-dot	Hacendado	hacendado		Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Frozen foods, Meals, Pizzas pies and quiches, Bakery products, Pizza dough	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:frozen-foods,en:meals,en:pizzas-pies-and-quiches,en:bakery-products,en:pizza-dough	Green Dot	en:green-dot	Germany, Spain	en:germany,en:spain	Mercadona, Hacendado	mercadona,hacendado	0							Spain	spain								flours (wheat (48%), spelt (8,3%), buckwheat), water, olive oil (3%), seeds (quinoa red (2%), poppy (1%), chia (salvia hispanica)(1%), wheat bran (1,4%), salt, sourdough of wheat (1%), alcohol, yeast,	Harinas (_trigo_ (48%), _espelta_ (8,3%), trigo sarraceno), agua, aceite de oliva (3%), semillas (quinoa roja (2%), amapola (1%), chía (Salvia hispanica) (1%)), salvado de _trigo_ (1,4%), sal, masa madre de _trigo_ (1%), alcohol, levadura.					Farinhas (_trigo_ (48%), _espelta_ (8,3%), trigo sarraceno), água, azeite (3%), sementes (quinoa vermelha (2%), papoila (1%), chia (Salvia hispânica) (1%)), farelo de _trigo_ (1,4%), sal, levedura natural de _trigo_ (1%), álcool, fermento.	Gluten	en:gluten	Milk	en:milk		100g	100g	1091	kJ	258	kcal	4.3	g	0.7	g	46.1	g	0.7	g			8.7	g	1.5	g	0.6	g			1091	kJ																																													en:plastic																											en:pizza-pies-and-quiches	en:composite-foods,en:pizza-pies-and-quiches	3	en:3-processed-foods	c	7	a	76		37001	-5	-10	1	0								App - elcoco, App - yuka, Apps, App - El CoCo, App - InFood, App - Open Food Facts, App - Speisekammer
8412600028124		en			Hogaza de pan con masa madre 10%						Pão massa mãe	Pan especial de trigo y centeno				Pão especial de trigo e centeio	450 g		Plastic, es:05, es:Green dot	en:plastic,es:05,es:green-dot	The Rustik Bakery	the-rustik-bakery		Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Sliced breads	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:sliced-breads	100% natural, Green Dot	en:100-natural,en:green-dot	Spain	en:spain	Consum	consum	0							Spain	spain								wheat flour (58%), water, active wheat sourdough (10%), rye flour (2,9%), wheat semolina, yeast, salt, inactive wheat sourdough, wheat gluten, vegetable oil (sunflower), wine vinegar, natural aroma	Harina de _trigo_ (58%), agua, masa madre activa de _trigo_ (10%), harina de _centeno_ (2,9%), semolina de _trigo_, levadura, sal, masa madre inactiva de _trigo_, gluten de _trigo_, aceite vegetal (girasol), vinagre de vino, aroma natural					Farinha de _trigo_ (58%), água, massa mãe ativa de _trigo_ (10%), farinha de _centeio_ (2,9%), semolina de _trigo_, levadura, sal, massa mãe inativa de _trigo_, glúten de _trigo_, óleo vegetal (girassol), vinagre de vinho, aroma natural.	Gluten	en:gluten	Sesame seeds	en:sesame-seeds		100g	100g	1012	kJ	239	kcal	1.5	g	0.3	g	45	g	3.8	g	4	g	9.4	g	1.1	g	0.44	g			1012	kJ	0.4	g	0.8	g							41	g																																	en:plastic																										https://www.therustikbakery.es/node/55	en:bread	en:cereals-and-potatoes,en:bread	4	en:4-ultra-processed-food-and-drink-products	c	5	a	75		7200	-5	-10	1	0								App - yuka, Apps, App - InFood, App - Open Food Facts, App - macrofactor, App - smoothie-openfoodfacts
8480000634603		es	Masa Fresca Pizza	Masa pizza	Masa pizza												520		de:Producto	de:producto	Hacendado	hacendado						España	en:spain	Mercadona, Hacendado	mercadona,hacendado	0																jamssa cfeonesndepois de cozi rode conter vestiges of dairy derivatives, soybeans, mostarda, ingredients: wheat farinha, water, ažeite (3,86), salt, alcool and ferment, pro scruda, consume after baking, dur may contain traces of dairy derivatives, soy and mustard, 9 ingredients: wheat flour, water, olive oil (3,86), salt, alcohol and car 4,2 poh inf	"JAMSSA CFEONESnDEPOIS DE COZI Rode conter vestígios de derivados lácteos, sojae mostarda, Ongredientes: Farinha de trigo, água, ažeite (3,86), säl, álcool efermento, Pro SCRUDA, CONSUMIR DESPUÉS DE HORNEAR, dur Puede contener trazas de derivados lácteos, soja y mostaza, 9 lngrdientes: Harina de trigo, agua, aceite de oliva (3,86), sal, alcohol y car 4,2 POH INF"						Gluten	en:gluten	Leche, Mostaza, Soja, en:leche	en:milk,en:mustard,en:soybeans,en:leche		100g	100g			270	kcal	4.2	g	0.7	g	49.5	g	3.6	g			8.6	g	1.475	g	0.59	g			270	kcal																																																																											unknown	unknown		unknown		1		-5	-15		0								App - elcoco, App - yuka, Apps, App - El CoCo, App - InFood, App - macrofactor
8480000634511		es		Masa De Hojaldre	Masa fresca de hojaldre												260 g		Envase	es:envase	Hacendado	hacendado		Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Botanas, Cereales y patatas, Snacks dulces, Cereales y derivados, en:Sweet pastries and pies, Masa de tarta, Viennoiseries, Masa de hojaldre	en:plant-based-foods-and-beverages,en:plant-based-foods,en:snacks,en:cereals-and-potatoes,en:sweet-snacks,en:cereals-and-their-products,en:sweet-pastries-and-pies,en:pie-dough,en:viennoiseries,en:puff-pastry-sheets	Sin grasas hidrogenadas	en:no-hydrogenated-fats	España	en:spain	Mercadona, Hacendado	mercadona,hacendado	0																wheat flour, water, sunflower oil, non-hydrogenated vegetable fats (palm and coconut), salt, alcohol, milk powder, yeast,	Harina de trigo, agua, grasa vegetal no hidrogenada (palma), aceite de girasol, alcohol, sal, levadura. Puede contener trazas de derivados lácteos soja y mostaza.						Gluten, Leche	en:gluten,en:milk	Mostaza	en:mustard		100g	100g			395	kcal	21.5	g	10.5	g	42	g	1.4	g			7.1	g	1	g	0.4	g			395	kcal																																																																								en:pastries	en:sugary-snacks,en:pastries	3	en:3-processed-foods	d	18	d	33	1	23422	-5	-15		0	-10							App - elcoco, App - yuka, Apps, App - El CoCo, App - Open Food Facts, App - InFood, App - smoothie-openfoodfacts
7501000111459		en		Whole wheat Con Masa Madre	PAN INTEGRAL BIMBO	Pan Integral Biofibra						Pan integral	Pan integral				680 g	29.6g	es:Bolsa de plástico	es:bolsa-de-plastico	Bimbo	bimbo		Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Breads, Sliced breads, Wholemeal breads, Wholemeal sliced breads	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:sliced-breads,en:wholemeal-breads,en:wholemeal-sliced-breads	es:100-granos-enteros, es:Empaque-degradable	es:100-granos-enteros,es:empaque-degradable	Mexico, Spain	en:mexico,en:spain	Abarrotes,Sam's Club,City Club,Bodega Aurrerá,Superama,Chedraui,La Comercial,Mercado Soriana,Walmart,Soriana	abarrotes,sam-s-club,city-club,bodega-aurrera,superama,chedraui,la-comercial,mercado-soriana,walmart,soriana	0		es:Ciudad de México	es:ciudad-de-mexico				Ciudad de México	ciudad-de-mexico				BM-96269-01-J17	bm-96269-01-j17			whole wheat flour (gluten), high fructose corn syrup, wheat gluten, yeast, glucose, inulin (prebiotics), vegetable oil, iodized salt, soy lecithin, monocalcium phosphate, calcium tip, monkey and diglycerides, tartaric diacetyl acid esters, vitamin b1, vitamin b2, vitamin b3, iron, enzymes, potassium sorbate*, prebiotics: % 1,2, may contain: milk, egg, sedanjoli , yellow 5 and walnut,	HARINA DE TRIGO INTEGRAL (GLUTEN), JARABE DE MAIZ DE ALTA FRUCTOSA, GLUTEN DE TRIGO, LEVADURA, GLUCOSA, INULINA (PREBIOTICOS), ACEITE VEGETAL, SAL YODADA, LECITINA DE SOYA, FOSFATO MONOCALCICO, PROPINATO DE CALCIO, MONO Y DIGLICERIDOS, ESTERES DE ACIDO DIACETIL TARTARICO, VITAMINA B1, VITAMINA B2, VITAMINA B3, HIERRO, ENZIMAS, SORBATO DE POTASIO*, PREBIOTICOS: % 1,2, PUEDE CONTENER: LECHE, HUEVO, AJONJOLI, AMARILLO 5 Y NUEZ,	"INGREDIENTES: HARINA JARABE DE MAïz DE ALTA FRUCTOS DE TRIGOf LEVADURA, (PREB16TlCOS), ACEITE VEGETAL, SAL SOYA FOSFATO MONOCAWICP DE CALCIOf MONO Y DIGLICERIDOS, ÉSTERES DIACETIL 'TARTARICOû Bz HIERRO, ENZlMAS9 SORBAÏOE POTASlOe PREB16TlCOS: fiUEVOg AJONJOÜ9 5 Y"					Eggs, Gluten, Milk, Nuts, Sesame seeds, Soybeans, es:AMARILLO 5	en:eggs,en:gluten,en:milk,en:nuts,en:sesame-seeds,en:soybeans,es:amarillo-5	Eggs, Nuts, Sesame seeds	en:eggs,en:nuts,en:sesame-seeds		100g	100g			249.7	kcal	5.3	g			43	g					7.5	g							249.7	kcal																	0.00015	g	0.000136	g	10	% DV	8e-05	g	2.4e-05	g	0.08	g	0.08	g	0.00108	g	0.024	g	0.0012	g	4	% DV						en:bag	en:plastic																										https://www.bimbo.com.mx/es	en:bread	en:cereals-and-potatoes,en:bread	4	en:4-ultra-processed-food-and-drink-products	unknown		a	75		7111	-5	-10	1	0								App - yuka, Apps, App - InFood, App - macrofactor
8480000636485		es			3 bases de pizza extrafinas												420 g	140			Hacendado	hacendado		en:Alimentos de origen vegetal, en:Alimentos y bebidas de origen vegetal, en:Cereales y patatas, en:Masa De Pizza, en:masa-de-pizza	en:alimentos-de-origen-vegetal,en:alimentos-y-bebidas-de-origen-vegetal,en:cereales-y-patatas,en:masa-de-pizza,en:masa-de-pizza	Sin grasas hidrogenadas	en:no-hydrogenated-fats	España	en:spain			0		España	en:spain														Harina de trigo y malta de cebada, Agua, Aceite de oliva, Puede contener trazas de soja y mostaza						Gluten	en:gluten	Mostaza, Soja	en:mustard,en:soybeans	null	100g	100g			283	kcal	4.4	g	0.8	g	53.4	g	1.9	g	2.4	g	6.5	g	1.25	g	0.5	g			283	kcal																																																																										3	en:3-processed-foods	c	7	unknown		1		3	-15		0								App - elcoco, Apps, App - yuka, App - El CoCo
8445291292024		es		Masa para empanadas	Masa para empanadas												350 g	29.1g			Buitoni	buitoni		Empanadas, Masa-para-empanada, Masa empanada	en:pies,es:masa-para-empanada,es:masa-empanada			España	en:spain			0																	Harina de trigo, agua, manteca de cerdo, sal, acidulantes (e575, ácido cítrico), sorbato potásico, levadura.						Gluten	en:gluten				100g	100g			342	kcal	12.8999996185303	g	4.90000009536743	g	47.7000007629395	g	0.100000001490116	g	2.59999990463257	g	7.40000009536743	g	4.25000011920929	g	1.7	g			342	kcal																																																																								en:pizza-pies-and-quiches	en:composite-foods,en:pizza-pies-and-quiches	3	en:3-processed-foods	e	28	unknown		1		-5	-15		0								App - smoothie-openfoodfacts, Apps
8410239040333		en		Masa para empanadillas y postres	Masa para empanadillas y postres							Masa para empanadillas					160g	10g	Plastic	en:plastic	Buitoni	buitoni		Plant-based foods and beverages, Plant-based foods, Cereals and potatoes, Bakery products	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:bakery-products	Green Dot, New recipe, Nutriscore, Nutriscore Grade D	en:green-dot,en:new-recipe,en:nutriscore,en:nutriscore-grade-d	Spain	en:spain	carrefour,Mercadona,Ahorramas,Consum	carrefour,mercadona,ahorramas,consum	0																wheat flour, water, lard, salt, acidulants (e575 and citric acid), preservative (potassium sorbate), yeast,	Harina de _trigo_, agua, manteca de cerdo, sal, acidulantes (E575, ácido cítrico), conservador (sorbato potásico), levadura.						Gluten	en:gluten				100g	100g	1435	kJ	342	kcal	13.2	g	4.9	g	48.1	g	0.5	g	1.7	g	6.8	g	1.8	g	0.72	g			1435	kJ																																																																								en:cereals-and-potatoes	en:cereals-and-potatoes	3	en:3-processed-foods	d	16	unknown		1		-5	-15		0								App - yuka, Apps, App - El CoCo, App - InFood, App - smoothie-openfoodfacts
8412600012611		es			Pan de masa madre centeno y pipas	Pan natural con masa madre, centeno, pipas de											450 g	100g	Plástico	en:plastic	The Rustik Bakery	the-rustik-bakery		Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Cereales y patatas, Panes, Panes de molde	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:sliced-breads	"100% natural, Centeno 7 %, Masa madre 15 %"	en:100-natural,es:centeno-7,es:masa-madre-15	España	en:spain			0												r18 l	r18-l					"La masa madre contribuye a darle al pan una textura esponjosa, un gran sabor y aroma, y adèmás, ayuda a conservarlo durante más tiempo. K. PAN ESPECIAL DE TRIGO 93% Y CENTENO 7%. INGREDIENTES: HARINA DE TRIG0 (53%), AGUA, MASA MADRE ACTIVA DE TRIGO (15%), HARINA DE CENTÊNO (3,8%), LEVADURA, COPOS DE AVENÁ (2%), SEMILLAS DE GIRASOL (1,5%), SAL, SEMILLAS DE CALABAZA TROCEADAS (1,2%), ACEITE VEGETAL (GIRASOL), MASA MADRE INACTIVA DE TRIGO, HARINA DE CEBADA MALTEADA, VINAGRE DE VINO, SEMOLINA DE TRIGO. PUEDE CONTENER SEMILLAS DE SÉSAMO. PÃO ESPECIAL DE TRIGO E CENTEIO. INGREDIENTES: FARINHA DE TRIGO (53%), ÁGUA, MASSA MÃE ATIVA DE TRIGO (15%), FARINHA DE ČENTÉIO (3,8%), LEVEDURA, FLOCOS DE AVEIÀ (2%), SEMENTES DE GIRASSOL (1,5%), SAL, SEMENTES DE ABÓBORA EM TROÇOS (1,2%), ÓLEO VÉGETAL (GIRASSOL), MASSA MÃE INATIVA DE TRIGO, FARINHA DE CEVADA MALTADA, VINAGRE DE VINHO, SEMOLINA DE TRIGO. PODE CONTER VESTÍGIOS DE SEMENTES DE SÉSAMO. - la masa para men y aporte el y el aroma tan del pan. ja Llámenos al 901 233 026 de lunes a viernes de 9 a 18h. 808 201 466, dias úteis das 9h às 13h e das 14h às 18h. Custo de chamada local. BDI, S.A.U.-CIF: A84.354.174 Calle Cigoitia, 1, Polígono Industrial Las Mercedes, 28022, Madrid (España - Espanha), www.therustikbakery.es PESO NETO: a lentamente en o de piedra para I una miga ay una corteza PESO LÍQUIDO: 450ge RECICLA %NATURAL PRE QUE QUIERAS, 8 412600 012611"					Gluten, Granos de sésamo	en:gluten,en:sesame-seeds				100g	100g			253	kcal	2.8	g	0.4	g	45	g	3.4	g			9.3	g	1.4	g	0.56	g			253	kcal																																													en:plastic																										www.therustikbakery.es	en:bread	en:cereals-and-potatoes,en:bread		unknown	c	6																App - yuka, Apps
8480000634740		es			Masa fresca de hojaldre con mantequilla							Masa fresca hojaldre con mantequilla					520g		Green dot	es:green-dot	Hacendado	hacendado		Alimentos y bebidas de origen vegetal, Alimentos de origen vegetal, Cereales y patatas, Cereales y derivados, Masa de tarta, Masa de hojaldre	en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:cereals-and-their-products,en:pie-dough,en:puff-pastry-sheets	Punto Verde, Sin grasas hidrogenadas	en:green-dot,en:no-hydrogenated-fats	España	en:spain	Mercadona, Hacendado	mercadona,hacendado	0																	Harina de _trigo_, _mantequilla_ (23%), agua, sal, alcohol, _leche_ en polvo, levadura.						Gluten, Leche	en:gluten,en:milk				100g	100g	1710	kJ	409	kcal	23.6	g	17.2	g	42.2	g	1.4	g			7	g	1.2	g	0.48	g			1710	kJ																																																																								en:cereals	en:cereals-and-potatoes,en:cereals	3	en:3-processed-foods	e	20	d	43	1	23422	-5	-15		0								App - elcoco, App - yuka, Apps, App - El CoCo, App - Open Food Facts
